Xa1,Xa2,Xe1,Xe2,Xe3
6.804651841175407556e-01,5.111562434507909147e-01,1.193182753460776402e-01,5.561886998357316036e-01,2.574126319664729046e-01
6.642745978485344871e-01,5.529989150557081956e-01,9.826144741518966219e-01,3.833275776250660849e-01,2.933958334992656791e-01
7.211035323183542234e-01,4.911555114536391708e-01,8.669902747953385225e-01,5.918867088182331315e-01,3.463230950206021008e-01
6.633829671107861481e-01,7.230242868749386931e-01,5.807527406757578836e-01,5.818291335198353398e-01,1.186152749817047658e-01
5.316964748331068913e-01,4.029976925959022904e-01,5.975302715346155757e-01,6.627286892140500374e-01,4.977942540306132813e-01
5.232840908364398969e-01,5.663546393248852784e-01,1.133266735381742718e-01,6.497578777410869533e-01,6.520063329892283877e-01
5.893649924079804592e-01,4.743329131523058573e-01,4.559962488212975229e-01,9.649033404802982439e-01,9.810759326517128898e-01
5.204647109431461693e-01,5.737062970924914351e-01,9.075091302345834610e-01,8.355838901239003302e-01,2.246115566939080876e-01
4.027174942666033042e-01,4.766280903765821586e-01,6.081575270670975808e-01,7.146385043732090825e-01,4.293058339608124552e-01
4.545292975302188676e-01,5.695236521204944946e-01,2.937851815126688582e-01,2.560601375921899292e-01,1.542865473891504857e-01
4.469022552391996306e-01,6.672391529417643907e-01,4.358388058376161389e-01,7.884252029598236566e-01,8.224449548274337385e-01
5.160432606809286504e-01,5.580660754668309576e-01,1.956714789209913485e-01,7.157202261190523940e-01,1.614614146583344123e-01
4.799317240850268229e-01,5.412976546744575623e-01,5.014469632126943299e-01,4.720713535333505018e-01,6.692062919736926352e-01
5.455314712395050725e-01,4.602346670512120763e-01,2.234784072734906646e-01,5.100782405824961785e-01,4.771240859953214120e-01
4.110341993285382411e-01,3.863312715780012896e-01,6.048175365245614943e-01,7.934643826947013201e-01,8.009433212438351601e-01
4.464623489379146437e-01,4.301853765800566221e-01,4.411006437991007445e-01,3.865021183954852058e-01,5.819283287412053696e-01
5.119095869941676646e-01,3.192411005240567423e-01,3.410967679884757686e-02,9.299604280822738600e-01,4.529401084295249236e-01
5.371737486212080359e-01,5.782990272700326839e-01,6.332523170735564477e-01,1.497798798640566087e-01,6.738348915613774359e-01
5.283732107733655203e-01,5.269138140450385643e-01,3.109114608998875262e-02,8.039813694184104742e-01,1.300378742488839112e-02
5.177380509963622757e-01,4.016172514616173639e-01,2.605518233779750004e-01,1.327725521601713643e-01,4.458251576291667462e-01
5.765956470226537567e-01,4.300905964323878394e-01,1.673261004230809368e-01,7.336707512519027308e-01,4.175491818206722439e-02
5.719650178982477184e-01,5.075399337675829958e-01,1.839180747951862926e-01,1.124977551731731751e-01,6.332573634470356483e-01
5.056560477902771744e-01,6.543910647020469984e-01,1.675977501077553500e-01,6.082581945627051345e-01,6.193209602756784005e-01
3.373214080059158126e-01,5.842932248257691752e-01,6.732235751552192449e-01,2.314348310456886271e-01,7.872388369937973751e-01
5.161502421159739340e-01,4.707742536091307772e-01,8.033847025067532011e-01,8.565271862589215468e-01,3.341493587330404136e-01
4.351593311056548008e-01,6.880633942964639038e-01,4.781472704256990447e-01,8.096362283794878989e-01,2.054665875622713189e-01
6.132195467023152657e-01,5.117307151294849810e-01,4.543843471405087930e-01,2.725019541595554706e-01,3.529056937639796221e-01
5.320832069054294289e-01,5.466788405432460030e-01,4.542526699863472794e-01,2.233690247637332149e-01,7.334397410981288168e-01
7.111087171535681595e-01,4.067764542023180052e-01,8.277336596067053076e-02,9.075298517764741613e-01,8.153928000814415489e-01
5.397938861928175402e-01,4.922549838061369143e-01,9.568631063806544157e-01,6.557999414256996396e-01,2.823275607921429398e-01
4.319039779739350937e-01,4.880454919480767817e-01,6.388144989665480722e-01,3.939091350124935831e-01,3.023996554028317574e-01
7.090195664847719348e-01,4.564891027308440874e-01,9.820381643210929212e-02,5.865244128170311599e-01,8.194617865699277415e-01
4.190159577916110489e-01,4.884231460900653743e-01,8.707311958766132953e-01,2.549406617331163583e-01,2.339484829234894647e-02
6.276951993646040506e-01,4.796673391188160940e-01,5.967409658057198918e-03,7.614771708272436435e-01,4.516033645751011960e-01
3.798932104893993911e-01,4.031181005744703394e-01,7.088301015849403086e-01,1.860642099859125542e-01,2.622427868375157844e-01
4.795666002284572071e-01,5.769928020067401908e-01,3.971953996706606427e-01,8.221368235469079799e-01,8.281205544944498786e-01
3.729289450556051433e-01,5.981001050706664657e-01,5.673473188463409311e-01,6.885015348844910621e-01,6.912796604949129620e-01
3.829540482319069294e-01,5.657220925605299655e-01,3.376526582408577726e-01,3.995250171582946930e-01,6.960051580388001424e-01
6.022164347198550871e-01,4.414240365652901676e-01,6.857055307836403824e-01,2.526067356871035674e-01,3.302975186681926800e-01
4.679987819149278305e-01,3.210963334633107902e-01,7.750149175047144068e-01,6.168570690693312430e-01,5.687911461454232542e-01
5.970333358002892776e-01,1.985369020429069709e-01,3.817104527100787514e-01,8.510776147115739487e-02,5.150866665653494048e-01
4.946971148968012932e-01,6.189141775482127628e-01,4.069530048581712078e-01,3.493312902625518301e-01,5.403721387337925286e-01
4.264905051427756444e-01,3.620767999031891948e-01,2.935191276113324754e-02,6.732013901787151644e-01,3.757633147437094978e-01
4.401451269655384801e-01,6.957698892597767859e-01,5.116436898485532403e-02,5.259539006665621130e-01,2.940563594402517689e-01
4.950399977719239231e-01,3.175108985637516978e-01,5.575491609842936347e-01,6.130214971294434267e-01,7.112408452328076169e-01
5.319432405008540643e-01,3.054917125349365659e-01,1.976045017161858208e-01,1.733110284715073668e-01,3.722259861845813589e-01
5.376184882221736183e-01,6.109970939623564634e-01,9.303281100910802959e-01,3.047769975679076593e-01,6.952047863017238871e-01
3.704856132804527080e-01,4.814568862255727000e-01,5.101971606801687376e-01,6.407728358634927623e-01,3.616815482438673346e-01
4.417612386240324374e-01,4.019845718710122195e-01,7.383857249539249601e-02,6.938853500938501062e-01,5.879664389880617792e-01
4.081367883148959708e-01,3.593138351685616350e-01,1.519828957792379587e-02,8.463615575445804229e-01,4.686262033342611932e-01
6.191844049506629588e-01,3.364373324792805375e-01,4.500921818582879208e-01,3.674006126025187724e-01,4.262337550976635914e-01
6.284191712644582317e-01,5.385339546779271958e-01,4.641257172104211737e-01,9.717710014511085070e-01,6.255361717082481565e-01
4.612963314111310220e-01,5.074175294569320815e-01,3.232129148945934727e-01,6.320182098384621305e-01,3.824927521876096970e-01
5.085766474085198219e-01,4.471258181311885127e-01,2.614124478768964366e-03,6.921590393203288505e-01,7.364958323924347683e-01
3.618253106778622774e-01,4.678790573550555276e-01,2.131930001695279131e-01,1.749105418223987352e-01,5.188924901631757347e-01
6.128652412636059754e-01,3.146553020604620499e-01,2.991709582882422502e-01,8.532029613315330607e-01,3.091655058636098019e-01
4.079327553284888830e-01,3.419604947359178304e-01,8.628108706841260966e-01,9.955687979263269094e-01,8.476234350315966504e-01
4.583540144839301500e-01,2.404863983405960970e-01,7.651405226205441057e-01,4.328286214251939601e-01,3.900401073761183834e-01
5.919079058460184894e-01,6.803421759279744130e-01,7.339786302274630136e-01,4.412877054493591356e-01,6.658136526478251049e-01
5.954656765959090992e-01,4.738004588686831053e-01,1.921956658700637588e-01,7.145328784405658995e-01,4.579109569226813559e-02
6.046000768886350407e-01,5.809581145867195318e-01,8.248534670403171454e-01,5.791321939289124643e-01,6.127642331240535922e-01
5.019262831646640333e-01,4.550435495947100506e-01,4.554958888646142290e-01,6.441556693404065781e-01,9.105723613448341025e-01
5.256568299533919131e-01,3.456187176463701993e-01,4.979106607981321764e-01,5.453297106906707103e-01,4.942419297701194925e-01
4.127193930284540069e-01,3.584040463252946562e-01,7.104116152066297651e-01,8.804985495498053316e-01,8.805172601439307245e-01
3.083678016729368698e-01,5.199688953012394643e-01,5.768827610680334894e-01,3.581231880765672893e-01,3.633339855014179332e-01
4.843889005430820904e-01,5.105866683512252369e-01,4.272825075406236905e-01,1.486375735622202932e-01,6.691896885204131618e-01
5.316668543684727188e-01,3.869567802869041673e-01,1.910518832582944748e-01,5.141403559395374412e-01,8.707942777602073470e-02
5.175093757507476244e-01,4.239268535470302468e-01,4.788689172027419394e-01,7.645041303529565013e-02,8.704344859970092330e-02
6.215688149288267628e-01,3.816884849963595450e-01,9.152720855298057678e-03,4.347236513677082970e-01,5.230378492707451477e-01
5.289558486621407374e-01,6.509101538823151012e-01,7.455254415128714784e-01,4.360874112171539974e-01,7.489821978877504449e-01
5.185980829132329495e-01,5.137341568068074515e-01,3.648086265583805332e-02,5.047878371221180549e-01,5.839792403150297906e-01
5.726514486830917017e-01,5.988650891783480201e-01,3.150286405758914166e-01,1.792104289012984575e-01,6.410648381425454456e-01
5.756194925628387304e-01,3.049122675920183934e-01,9.409526695009496899e-01,5.676764456655156721e-01,5.415577765501508045e-01
5.307536993281851689e-01,4.584767869437320065e-01,8.709591194096436562e-01,8.170572175916661628e-01,3.803181933833881256e-01
4.415041260963277758e-01,5.633833917377876199e-01,8.108329279663806233e-01,2.760514423447920640e-01,3.539073020992278273e-01
5.959376301920097374e-01,5.298566107787604507e-01,6.303845243151191546e-01,6.301224179885915877e-01,2.189464287668764220e-01
6.430574279999832221e-01,6.818765602234793111e-01,5.829765533516166887e-01,5.436792674414128168e-01,3.422823240307525383e-01
5.372023599807040917e-01,3.991606264442369434e-01,9.543361186024483800e-01,6.616970368580277206e-01,2.551622733420296774e-01
4.450830550348491843e-01,5.515058858803650876e-01,5.195930928259894221e-01,1.365547194977628775e-01,3.044474346121934794e-01
5.060232739136900637e-01,5.093610103084346141e-01,6.751566407280620297e-01,5.236643962830926924e-01,8.857594637473453769e-02
5.121422542111115916e-01,4.261318436869334647e-01,1.763587544948039820e-01,3.163132073843238912e-01,7.144297101158655350e-01
4.500381296926730390e-01,5.147697786409265452e-01,3.641393037923956744e-01,6.945978829087995354e-01,7.898916990405993044e-01
4.459393643034071375e-01,6.075959960547201444e-01,8.411224071762923860e-02,8.858017118025168779e-01,8.000523762489452073e-01
5.293216495029647861e-01,4.777466840127466141e-01,9.419368356229496086e-01,4.824695939676270084e-01,5.682527280634011024e-01
