Xa1,Xa2,Xe1,Xe2,Xe3
3.370480792501224787e-01,4.525737636905283745e-01,7.367608382643369147e-01,7.795810820464275093e-01,6.939491736213676543e-02
4.337447516608969322e-01,5.134692391441163517e-01,8.827928414579799821e-03,6.997423109691013332e-01,4.720891750110056684e-01
6.291396952861526559e-01,5.049524918587037225e-01,5.077567447951010227e-01,2.094782399504546699e-02,2.141769515122008416e-01
3.071497014917851098e-01,6.492651525396466727e-01,4.843028472233770199e-01,3.619860967524224371e-02,5.832663072970182272e-01
5.050049404851382207e-01,5.931201119815410205e-01,2.989565930349727951e-01,3.206093492472974482e-01,3.725677028577059069e-01
5.909796228617206770e-01,5.776309362089337984e-01,8.684043545370778716e-03,1.919584622136938368e-01,3.998514066236117381e-01
5.120943374575676055e-01,4.832854847825338584e-01,7.681893477102293977e-01,2.267534943440077111e-01,5.184621695917153161e-01
4.522832156824062033e-01,4.920259521588238316e-01,4.691097918982167769e-01,8.614947503135012008e-01,6.106627181722779074e-02
5.253799456078304120e-01,5.818507027474079107e-01,8.272471114262658354e-01,5.010753117768773635e-03,8.580958960224185361e-01
3.938840511831880331e-01,5.958118528640541367e-01,3.889565605482305788e-01,1.726781933518003465e-01,8.407633134549590270e-01
5.863047886680874399e-01,3.860819599994869677e-01,8.597062993341441084e-01,5.768850684223072456e-01,3.190163518607848081e-01
5.819237389140332617e-01,4.564733239147260591e-01,7.966440104344552076e-02,3.293649705102436043e-01,1.260248927475461356e-01
4.798272529205984682e-01,6.187195885889513747e-01,4.574508193971044134e-01,4.236005036045047412e-01,2.658019944311346139e-01
4.598046271044700095e-01,5.627962032732417574e-01,7.648447527637123322e-01,1.161620809592478487e-03,4.714128688727214911e-01
5.002122224256300154e-01,6.483931211557478758e-01,5.386109114495805095e-01,3.540432008080234283e-01,7.036322583833264366e-01
5.192379028326674639e-01,5.879251492729129502e-01,6.008730424665879033e-01,3.007683478920786246e-01,2.864492043596100768e-01
5.960867881003338864e-01,5.146454142381162722e-01,1.229872086562600053e-02,9.323869395726678277e-01,3.916110767328369047e-01
5.194095346906880684e-01,5.397982576366633367e-01,3.481239222199236094e-01,4.877859579582233263e-02,7.092277163524721706e-01
5.236626282944913946e-01,4.159821455826048231e-01,2.920246893908221564e-01,3.644562723629596324e-01,7.866885227107289769e-02
5.144037061452053639e-01,4.609725025829412570e-01,5.468192837389849181e-01,8.727527837495804297e-01,8.025280360371285227e-01
5.559947611036816228e-01,4.226825838494939758e-01,1.873820644877096653e-01,3.399240679519115460e-01,2.069913203169604365e-02
4.041172722783533677e-01,5.170773104527525144e-01,5.620991373097623534e-01,4.063388670398578872e-01,2.937779199348440340e-01
4.962262163234679724e-01,4.843589125352765756e-01,4.846841457484918347e-01,6.505492433009119058e-01,1.608915626076293792e-01
3.715510885936831875e-01,4.935764284974323846e-01,2.654864629777370366e-01,5.866952772315128239e-01,1.720641017998542077e-01
4.366725130332048677e-01,5.817255273528478821e-01,3.874570871600186983e-01,4.296268207509872372e-01,8.905690723049477509e-01
5.138141346177615976e-01,5.726005400098967968e-01,2.579044565920369791e-01,4.336337196567865426e-01,9.313271775897495885e-01
6.524566615334597142e-01,4.392731472788888869e-01,4.763712747424242444e-01,4.364550353232568014e-01,1.932967136724574875e-01
4.865741877731485365e-01,4.958526561162671098e-01,9.030703379122012597e-01,2.223064120057475224e-01,5.944963706882130383e-01
5.712708728426971749e-01,4.863863842686327321e-01,8.813132229480233892e-01,6.423481539209245916e-01,2.255563477199356015e-01
5.665073678560550441e-01,6.224304978042867198e-01,1.287418438450177449e-01,6.200090959586029848e-01,7.275540456354682162e-01
4.432325676144659998e-01,5.811007727830509451e-01,8.026143552575690787e-01,7.703205534802998189e-01,1.919464442886575917e-01
5.373688358775949858e-01,6.305825444786292699e-01,6.514628802584851996e-01,7.470954540258833987e-01,3.557383447116648778e-01
4.640984093106856334e-01,4.923287911394172989e-01,3.357311943809876409e-01,4.296691942550558974e-01,5.017408479935687726e-01
5.648289250030118502e-01,3.840425151899445888e-01,3.428332764859591819e-01,8.724557809220242488e-01,5.501658614887644516e-01
4.900240281329490966e-01,5.210670222179901723e-01,5.076728952817277651e-02,8.180525874176074463e-01,9.321316989642850492e-01
5.579190858606318804e-01,3.773509529544162300e-01,2.194186252535534898e-02,1.907870577154915370e-01,5.789108823047721675e-01
5.242005697211781223e-01,5.459788729898806814e-01,7.690526660499502620e-01,7.975590542387426263e-01,8.496138040494117805e-01
4.562771413374965279e-01,4.864212766423860468e-01,3.123884890678395587e-01,5.593860211080414757e-02,1.476682826501442003e-01
5.124052823667425427e-01,5.073087687940031065e-01,5.526034028604029924e-01,4.364064255575138551e-01,7.233643894917143324e-01
4.646473482021114543e-01,5.384451044307927425e-01,2.311777022628411782e-01,3.431865924483145092e-01,1.012096918538781809e-01
4.937001540233854624e-01,5.589305133049464747e-01,3.131625394539101492e-01,1.315507766230700204e-01,7.358321549513127113e-01
4.713202293901385675e-01,3.219476229135384560e-01,5.483684062825233685e-02,1.409149672124756503e-01,6.874508264352396925e-01
5.749211698363808631e-01,4.417889223472736271e-01,5.287078790787290705e-01,8.091851837683698978e-01,8.648695041523546401e-01
4.508510647778353198e-01,4.290989528226683003e-01,7.721779151026024746e-01,3.554284427918755762e-01,1.252981166231513788e-01
4.221113472380885190e-01,5.289168534452760584e-01,1.690589917411170484e-01,8.921475352493013489e-02,6.304057220480420165e-01
5.190430097056015768e-01,5.340897385581515611e-01,4.460513937296425313e-01,4.240207554835010439e-01,5.066824725969053533e-01
6.089834862525665971e-01,5.815834530969242744e-01,4.649473042032414849e-01,7.583724040394438370e-01,2.951827502477645249e-01
4.051205454495249159e-01,4.936372380615119959e-01,6.922063289264123176e-01,4.277110966230524003e-02,7.974162899396225468e-01
6.265563925956167957e-01,4.190384180363440070e-01,8.158711436443608633e-01,2.272821449177253594e-02,3.231407540847607285e-01
3.269258774971189885e-01,4.564011185554772698e-01,8.596185143406273044e-01,7.569490485172644112e-01,2.260952741696805601e-01
3.786746003256434845e-01,5.325762229537732706e-01,5.588933898663878130e-01,5.145317278998345900e-01,4.914308939674048027e-01
5.066213499069623927e-01,5.224488911468887498e-01,1.092851578752682684e-01,8.022302656661413067e-01,5.299948781625557492e-01
5.154723371419743794e-01,5.737202235890895841e-01,6.201799348581735760e-01,6.494171857732723430e-01,2.974154803920441292e-01
3.160915474488965593e-01,6.185971691174657616e-01,6.767147719211347168e-01,7.342270400023522825e-01,8.500382761091096473e-01
4.643527709444419949e-01,6.267495377744096707e-01,6.500484470466765252e-01,7.808658870995880408e-01,4.099546957098479938e-01
5.089182607641424827e-01,5.261709654158506222e-01,6.512213041013352743e-01,3.969949969382359223e-01,3.214196052593232267e-02
5.535191986251019047e-01,5.046177964998492804e-01,8.399244595371049282e-01,2.497260224643571558e-02,8.386432575538299572e-01
4.825792721915106442e-01,4.802617798940435612e-01,6.866071532235007435e-02,8.938601340450758048e-01,9.728399971540981905e-01
5.851191129999833151e-01,5.002953793518977177e-01,6.655411389467978944e-01,6.414908430020668240e-01,8.841442001124732997e-01
6.130480184248201514e-01,4.813828598064869846e-01,9.819609044686997690e-01,6.566500518646622986e-01,2.788774322059841548e-01
4.109470266207090883e-01,3.871299576234191187e-01,9.038135837602100375e-01,7.731546816673329214e-02,4.013966811510425448e-01
5.708413582690240462e-01,4.912639435356173090e-01,7.268259099230178766e-01,7.209432334208031312e-01,8.127831532797016312e-01
5.187988848660117780e-01,5.721475656741099591e-01,6.465692609389646073e-01,2.910989831165959885e-01,3.078625784984527769e-01
3.909907665189999992e-01,4.917380921841232322e-01,3.977767635819382530e-01,6.446082405888992062e-01,9.458913187517790089e-01
4.735257911463038871e-01,4.905066898441063361e-01,1.534128017293654445e-01,3.423303978859409957e-01,4.545557065703842436e-01
5.068183473292351415e-01,5.733630699032751243e-01,3.063632802704869817e-01,3.771281327740988454e-01,3.500076115415482469e-01
6.858370281347437869e-01,4.727347466706028345e-01,2.652265179496946512e-01,8.805069492391609520e-01,7.671699556261228903e-01
5.118054634873148157e-01,5.882401330802653483e-01,3.421721294735705632e-01,1.416166357493032768e-01,6.591503141056288539e-01
5.108306135039735185e-01,5.598133634884464582e-01,5.325877936788915301e-01,8.584194672306111329e-01,4.260742991215832332e-01
